Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO11302	Sodium/potassium-transporting ATPase subunit alpha; ATP-binding; Direct protein sequencing; Hydrolase; Ion transport; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein; Potassium; Potassium transport; Sodium; Sodium transport; Sodium/potassium transport; Transmembrane; Transmembrane helix; Transport	Predicted metal-dependent hydrolase; UCH-binding domain	Serpins signature	NULL	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; sodium:potassium-exchanging ATPase activity [GO:0005391]	NULL
ABO11305	Putative arginyl-tRNA--protein transferase; Acyltransferase; Complete proteome; Cytoplasm; Reference proteome; Transferase	Arginine-tRNA-protein transferase, C terminus; Arginine-tRNA-protein transferase, N terminus; Acetyltransferase (GNAT) domain	NULL	NULL	cytoplasm [GO:0005737]; arginyltransferase activity [GO:0004057]; protein arginylation [GO:0016598]; arginyltransferase activity [GO:0004057]; protein arginylation [GO:0016598]; arginyltransferase activity [GO:0004057]; protein arginylation [GO:0016598]	NULL
ABO11060	Uncharacterized protein PA0392; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	YGGT family	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; membrane [GO:0016020]	NULL
ABO10644	Purine ribonucleoside efflux pump NepI; Cell inner membrane; Cell membrane; Membrane; Transmembrane; Transmembrane helix; Transport	Major Facilitator Superfamily; Sugar (and other) transporter; MFS_1 like family; Uncharacterised protein family (UPF0227); Starter unit:ACP transacylase in aflatoxin biosynthesis; Virulence promoting factor	Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; purine nucleoside transmembrane transporter activity [GO:0015211]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	Virulence promoting factor
ABO11064	FRAS1-related extracellular matrix protein 1; Alternative splicing; Basement membrane; Calcium; Cell adhesion; Complete proteome; Developmental protein; Disulfide bond; Extracellular matrix; Glycoprotein; Lectin; Metal-binding; Reference proteome; Repeat; Secreted; Signal	Protein of unknown function (DUF432)	NULL	NULL	basement membrane [GO:0005604]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; cell communication [GO:0007154]; cell-matrix adhesion [GO:0007160]; craniofacial suture morphogenesis [GO:0097094]	NULL
ABO11067	Organic hydroperoxide resistance transcriptional regulator; 3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; DNA-binding; Oxidation; Reference proteome; Repressor; Transcription; Transcription regulation	MarR family; MarR family; Winged helix DNA-binding domain; HxlR-like helix-turn-helix; TFIIE alpha subunit; Winged helix DNA-binding domain; Penicillinase repressor; HTH-like; Origin of replication binding protein; Mga helix-turn-helix domain; Sugar-specific transcriptional regulator TrmB	MarR-type HTH domain profile	NULL	cytoplasm [GO:0005737]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription regulatory region DNA binding [GO:0044212]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; DNA binding [GO:0003677]; negative regulation of transcription, DNA-templated [GO:0045892]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO12225	Uncharacterized HTH-type transcriptional regulator YvkB; Complete proteome; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	Bacterial regulatory proteins, tetR family; AefR-like transcriptional repressor, C-terminal region; Bacterial transcriptional repressor C-terminal	TetR-type HTH domain profile	NULL	cytosol [GO:0005829]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; DNA binding [GO:0003677]	NULL
ABO13241	GTP-binding protein TypA/BipA; Complete proteome; GTP-binding; Nucleotide-binding; Phosphoprotein	Elongation factor Tu GTP binding domain; Elongation factor G C-terminus; Elongation factor Tu domain 2; 50S ribosome-binding GTPase; Elongation Factor G, domain II; Septin; Ras of Complex, Roc, domain of DAPkinase	Translational (tr)-type guanine nucleotide-binding (G) domain profile	NULL	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; small GTPase mediated signal transduction [GO:0007264]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	NULL
ABO12222	Putative dehydratase IlvD1; Complete proteome; Iron; Iron-sulfur; Lyase; Metal-binding; Reference proteome	Dehydratase family; Winged helix-turn-helix DNA-binding	Dihydroxy-acid and 6-phosphogluconate dehydratases signature 1	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Pantothenate and CoA biosynthesis [acb00770]; Valine, leucine and isoleucine biosynthesis [acb00290]; 2-Oxocarboxylic acid metabolism [acb01210]; Biosynthesis of antibiotics [acb01130]; Biosynthesis of amino acids [acb01230]	iron-sulfur cluster binding [GO:0051536]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; metabolic process [GO:0008152]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]	NULL
ABO10648	Threonylcarbamoyl-AMP synthase; ATP-binding; Cytoplasm; Nucleotide-binding; Nucleotidyltransferase; Transferase; tRNA processing	Telomere recombination	YrdC-like domain profile	NULL	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; tRNA threonylcarbamoyladenosine modification [GO:0002949]; double-stranded RNA binding [GO:0003725]; double-stranded RNA binding [GO:0003725]	NULL
ABO13362	Protein GrpE; Chaperone; Complete proteome; Cytoplasm; Stress response	GrpE; Protein of unknown function (DUF489); Cortactin-binding protein-2; Protein of unknown function (DUF3584); CoA enzyme activase uncharacterised domain (DUF2229); Golgin subfamily A member 5; MIF4G like; Fusaric acid resistance protein family	grpE protein signature	NULL	cytoplasm [GO:0005737]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; protein folding [GO:0006457]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; chaperone binding [GO:0051087]; protein folding [GO:0006457]; Golgi organization [GO:0007030]; RNA metabolic process [GO:0016070]; transport [GO:0006810]; plasma membrane [GO:0005886]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; chaperone binding [GO:0051087]; protein folding [GO:0006457]	NULL
ABO10499	DNA polymerase III subunit beta; Cytoplasm; DNA replication; DNA-directed DNA polymerase; Nucleotidyltransferase; Transferase	DNA polymerase III beta subunit, N-terminal domain; DNA polymerase III beta subunit, C-terminal domain; DNA polymerase III beta subunit, central domain; YabP family	NULL	Metabolic pathways [acb01100]; Pyrimidine metabolism [acb00240]; Purine metabolism [acb00230]; DNA replication [acb03030]; Mismatch repair [acb03430]; Homologous recombination [acb03440]	cytoplasm [GO:0005737]; DNA polymerase III complex [GO:0009360]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; 3'-5' exonuclease activity [GO:0008408]; DNA replication [GO:0006260]; DNA polymerase III complex [GO:0009360]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; 3'-5' exonuclease activity [GO:0008408]; DNA replication [GO:0006260]; DNA polymerase III complex [GO:0009360]; DNA-directed DNA polymerase activity [GO:0003887]; 3'-5' exonuclease activity [GO:0008408]; DNA replication [GO:0006260]; DNA polymerase III complex [GO:0009360]	NULL
ABO11468	Cell division protein ZapA; 3D-structure; Cell cycle; Cell division; Coiled coil; Complete proteome; Cytoplasm; Reference proteome; Septation	Cell division protein ZapA; Poxvirus L5 protein family; SCP1.201-like deaminase	NULL	NULL	cytoplasm [GO:0005737]; cell cycle [GO:0007049]; cell division [GO:0051301]	NULL
ABO11469	Epidermal growth factor receptor substrate 15 homolog; Calcium; Cell membrane; Coiled coil; Complete proteome; Membrane; Protein transport; Reference proteome; Repeat; Transport	HAP1 N-terminal conserved region; Protein of unknown function (DUF3450); Initiation control protein YabA; bZIP transcription factor; Tat binding protein 1(TBP-1)-interacting protein (TBPIP); IncA protein; Leucine-rich repeats of kinetochore protein Cenp-F/LEK1; Uncharacterized coiled-coil protein (DUF2353); Domain of unknown function (DUF3552); Growth-arrest specific micro-tubule binding; TATA element modulatory factor 1 TATA binding; V-type ATPase 116kDa subunit family; DASH complex subunit Dad4; Calcium binding and coiled-coil domain (CALCOCO1) like; Sec34-like family; Occludin homology domain; TSC-22/dip/bun family; SWI5-dependent HO expression protein 3; Nucleopolyhedrovirus P10 protein; Chordopoxvirus multifunctional envelope protein A27; Spc7 kinetochore protein; Autophagy protein Apg6; Reovirus sigma C capsid protein; C-terminal leucine zipper domain of cyclic nucleotide-gated channels; Protein of unknown function (DUF3584); Lipoprotein leucine-zipper; Afadin- and alpha -actinin-Binding; Cell division protein ZapB; JNK-interacting protein leucine zipper II; DASH complex subunit Dam1; Prefoldin subunit; Domain of unknown function (DUF4407); Fez1; Hyaluronan mediated motility receptor N-terminal; Macoilin family; Septation ring formation regulator, EzrA	NULL	NULL	AP-2 adaptor complex [GO:0030122]; clathrin coat of coated pit [GO:0030132]; calcium ion binding [GO:0005509]; protein transport [GO:0015031]; DNA replication [GO:0006260]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; reciprocal meiotic recombination [GO:0007131]; transcription factor binding [GO:0008134]; protein homodimerization activity [GO:0042803]; dynein complex binding [GO:0070840]; cell motility [GO:0048870]; motile cilium [GO:0031514]; hydrogen ion transmembrane transporter activity [GO:0015078]; ATP hydrolysis coupled proton transport [GO:0015991]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; attachment of spindle microtubules to kinetochore [GO:0008608]; DASH complex [GO:0042729]; mitotic spindle [GO:0072686]; intracellular protein transport [GO:0006886]; cis-Golgi network [GO:0005801]; membrane [GO:0016020]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; endoplasmic reticulum inheritance [GO:0048309]; mRNA transport [GO:0051028]; viral capsid [GO:0019028]; fusion of virus membrane with host plasma membrane [GO:0019064]; viral envelope [GO:0019031]; autophagy [GO:0006914]; outer membrane [GO:0019867]; FtsZ-dependent cytokinesis [GO:0043093]; cell septum assembly [GO:0090529]; cytoplasm [GO:0005737]; attachment of spindle microtubules to kinetochore [GO:0008608]; DASH complex [GO:0042729]; mitotic spindle [GO:0072686]; integral component of membrane [GO:0016021]; septin ring assembly [GO:0000921]; septin ring [GO:0005940]; integral component of membrane [GO:0016021]	NULL
ABO13451	Probable FAD-binding monooxygenase AlmA; Cell membrane; Complete proteome; FAD; Flavoprotein; Membrane; Monooxygenase; NADP; Oxidoreductase; Reference proteome; Transmembrane; Transmembrane helix	Flavin-binding monooxygenase-like; L-lysine 6-monooxygenase (NADPH-requiring); NAD(P)-binding Rossmann-like domain; Pyridine nucleotide-disulphide oxidoreductase; Pyridine nucleotide-disulphide oxidoreductase; FAD dependent oxidoreductase; Thi4 family; Shikimate / quinate 5-dehydrogenase; Malate:quinone oxidoreductase (Mqo); FAD-NAD(P)-binding; Pyridine nucleotide-disulphide oxidoreductase; FAD binding domain; Lycopene cyclase protein; Tryptophan halogenase; FAD binding domain	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; alkane catabolic process [GO:0043448]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; flavin adenine dinucleotide binding [GO:0050660]; NADP binding [GO:0050661]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; malate dehydrogenase (quinone) activity [GO:0008924]; tricarboxylic acid cycle [GO:0006099]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; FAD binding [GO:0071949]	NULL
ABO13515	Glycine--tRNA ligase alpha subunit; Aminoacyl-tRNA synthetase; ATP-binding; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis	Glycyl-tRNA synthetase alpha subunit	Heterodimeric glycyl-transfer RNA synthetases family profile	Aminoacyl-tRNA biosynthesis [acb00970]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]; nucleotide binding [GO:0000166]; glycine-tRNA ligase activity [GO:0004820]; ATP binding [GO:0005524]; glycyl-tRNA aminoacylation [GO:0006426]; cytoplasm [GO:0005737]; nucleotide binding [GO:0000166]; glycine-tRNA ligase activity [GO:0004820]; ATP binding [GO:0005524]; glycyl-tRNA aminoacylation [GO:0006426]; cytoplasm [GO:0005737]	NULL
